NOM|TIPUS|CARRER|NUM|LAT|LNG
Restaurant Viena Filadors|restaurant|Carrer dels Filadors|28|41.5537021|2.0989330
Mercat Negre|restaurant|Carrer de Sant Jaume|19|41.5462089|2.1048576
Tanins|restaurant|Carrer del Doctor Puig|2|41.5484843|2.1095136
Cent 45|bar|Carrer d'Alfons Sala|145|41.5470092|2.1162524
Popeyes|fast_food|||41.5516687|2.0984830
Restaurant Les Voltes de la Borriana|restaurant|Carrer de la Borriana|34|41.5471527|2.1092090
Restaurant La Cuina de l'Euterpe|restaurant|Carrer del Jardí|36|41.5454225|2.1114531
Karmelitas|restaurant|||41.5463543|2.1064477
La Pasti|restaurant|Carrer de la Rosa|3|41.5473393|2.1084213
Restaurant Pizzeria Viena|restaurant|Avinguda de Francesc Macià|13|41.5535665|2.0972745
Europcar|car_rental|||41.5474924|2.0951369
Dual Mirallac|restaurant|Carrer d'en Prat de la Riba|91|41.5505740|2.0976441
La República|bar|Plaça del Vallès|5|41.5460266|2.1024015
foc de llenya|fast_food|Carrer de la Unió|183|41.5498540|2.1004623
Centre d'Atenció Primària Sant Oleguer|clinic|||41.5385552|2.1179282
Clínica Radiografia|clinic|Carrer de Gràcia|78|41.5490955|2.1058120
EVOBanco|bank|Carrer d'Alfons XIII|28|41.5456964|2.1106161
Banco Sabadell|bank|Plaça de Catalunya|1|41.5498118|2.0990316
Centre Radiològic SBD|doctors|Carrer de Zurbano|3|41.5408150|2.1111115
Asepeyo|clinic|||41.5447489|2.1002579
BBVA|bank|||41.5392518|2.1129501
Caixabank|bank|||41.5402395|2.1118585
BBVA|bank|||41.5417091|2.1111933
Caixabank|bank|||41.5444783|2.1004200
Cruz Roja Sabadell|hospital|||41.5450226|2.1162827
Caixabank|bank|||41.5460755|2.1094376
Consulta Dra. Imma Viñolas|doctors|Carrer del Raval de Dins|17|41.5497711|2.1081885
C.A.P. Sabadell Centre|clinic|||41.5444374|2.1077284
C.A.P. Sant Fèlix|clinic|||41.5325822|2.1139605
Banco Santander|bank|||41.5474066|2.1090661
Banco Santander|bank|||41.5431919|2.1105014
