CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,c. de Sant Cugat,46,GRUP ZURICH,activitat_econòmica,Activitats d'agents i corredors d'assegurances,41.5478,2.10723,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Cugat, 46 Bxs",Activitats d'agents i corredors d'assegurances
,c. de l' Estrella,147,GUARDA TOT,activitat_econòmica,Lloguer de béns immobiliaris per compte propi,41.5485,2.10856,,,,sabadellempresa.cat,EL CENTRE,1,"c. de l' Estrella, 147 Bxs 1a",Lloguer de béns immobiliaris per compte propi
,c. de Bonavista,138,GUARDA TRASTOS,activitat_econòmica,Lloguer de béns immobiliaris per compte propi,41.5436,2.1081,,,,sabadellempresa.cat,COVADONGA,1,"c. de Bonavista, 138 Bxs 1a",Lloguer de béns immobiliaris per compte propi
,c. de Zurbano,26,GUELL 1997 SL,activitat_econòmica,Promoció immobiliària,41.551,2.10695,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Zurbano, 26 Bxs 1a",Promoció immobiliària
,c. de la Indústria,26,GUIX GESTORIA ADMINISTRATIVA,activitat_econòmica,"Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal",41.5461,2.11392,,,,sabadellempresa.cat,EL CENTRE,1,"c. de la Indústria, 26 Bxs","Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal"
,Rambla,88,GUMIN'S,activitat_econòmica,Comerç al detall d'altres tipus de productes alimentaris en establiments especia,41.5473,2.1055,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 88 Bxs",Comerç al detall d'altres tipus de productes alimentaris en establiments especialitzats
,pl. de Granados,7,HABIT,activitat_econòmica,Activitats de disseny especialitzat,41.5473,2.1055,,,,sabadellempresa.cat,EL CENTRE,1,"pl. de Granados, 7 Bxs 1a",Activitats de disseny especialitzat
,Rambla,139,HALCON VIAJES,activitat_econòmica,Activitats de les agències de viatges,41.5455,2.11149,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 139 Bxs",Activitats de les agències de viatges
,c. de Sant Jaume,25,HALCON VIATGES,activitat_econòmica,Activitats de les agències de viatges,41.5403,2.1117,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Jaume, 25 Bxs",Activitats de les agències de viatges
,pg. de Manresa,14,HEALTHY POKE,activitat_econòmica,Altres serveis de menjars,41.5474,2.11366,,,,sabadellempresa.cat,EL CENTRE,1,"pg. de Manresa, 14 Bxs",Altres serveis de menjars
